Code,Label,Year,Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%)
107011132,Horsley - Kembla Grange,2018,746,796,800,777,569,518,773,734,685,716,602,534,451,346,251,204,134,97,7.7,8.2,8.2,8.0,5.8,5.3,7.9,7.5,7.0,7.4,6.2,5.5,4.6,3.6,2.6,2.1,1.4,1.0
107011134,Unanderra - Mount Kembla,2018,946,946,"1,054","1,084","1,148","1,005",917,962,970,"1,066","1,061","1,156",957,779,657,398,289,454,6.0,6.0,6.7,6.8,7.2,6.3,5.8,6.1,6.1,6.7,6.7,7.3,6.0,4.9,4.1,2.5,1.8,2.9
107011545,Berkeley - Lake Heights - Cringila,2018,"1,010",980,880,817,"1,050","1,035",973,971,845,896,882,965,816,686,567,480,468,335,6.9,6.7,6.0,5.6,7.2,7.1,6.6,6.6,5.8,6.1,6.0,6.6,5.6,4.7,3.9,3.3,3.2,2.3
107011546,Port Kembla - Warrawong,2018,687,666,564,493,618,753,567,558,585,664,668,662,590,487,462,410,364,375,6.8,6.5,5.5,4.8,6.1,7.4,5.6,5.5,5.8,6.5,6.6,6.5,5.8,4.8,4.5,4.0,3.6,3.7
107011547,Windang - Primbee,2018,221,241,192,201,232,212,203,242,237,244,284,331,309,297,314,263,208,150,5.0,5.5,4.4,4.6,5.3,4.8,4.6,5.5,5.4,5.6,6.5,7.6,7.1,6.8,7.2,6.0,4.7,3.4
107031136,Albion Park - Macquarie Pass,2018,"1,085","1,167","1,133","1,197","1,005",985,"1,048",984,"1,005","1,077",919,977,775,595,479,340,195,281,7.1,7.7,7.4,7.9,6.6,6.5,6.9,6.5,6.6,7.1,6.0,6.4,5.1,3.9,3.1,2.2,1.3,1.8
107031137,Albion Park Rail,2018,417,464,384,432,450,494,499,419,349,394,428,509,416,403,314,240,129,189,6.0,6.7,5.5,6.2,6.5,7.1,7.2,6.0,5.0,5.7,6.2,7.3,6.0,5.8,4.5,3.5,1.9,2.7
107031138,Kiama,2018,383,440,436,414,418,376,380,366,430,503,543,590,648,636,627,424,268,341,4.7,5.4,5.3,5.0,5.1,4.6,4.6,4.5,5.2,6.1,6.6,7.2,7.9,7.7,7.6,5.2,3.3,4.1
107031139,Kiama Downs - Minnamurra,2018,410,382,427,363,376,270,296,348,398,394,367,457,518,410,295,211,134,131,6.6,6.2,6.9,5.9,6.1,4.4,4.8,5.6,6.4,6.4,5.9,7.4,8.4,6.6,4.8,3.4,2.2,2.1
107031140,Kiama Hinterland - Gerringong,2018,422,523,532,544,473,347,420,416,489,532,535,613,669,599,530,348,209,248,5.0,6.2,6.3,6.4,5.6,4.1,5.0,4.9,5.8,6.3,6.3,7.3,7.9,7.1,6.3,4.1,2.5,2.9
